Id,NoF,Area,Street,Utilities,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,Foundation,GarageType,PoolQC,SalePrice
257,60,8791,Pave,AllPub,Somerst,1Fam,2Story,6,5,2003,PConc,Attchd,NA,207500
258,20,8814,Pave,AllPub,CollgCr,1Fam,1Story,7,5,2006,PConc,Attchd,NA,220000
259,60,12435,Pave,AllPub,CollgCr,1Fam,2Story,7,5,2001,PConc,Attchd,NA,231500
260,20,12702,Pave,AllPub,OldTown,1Fam,1Story,5,5,1956,PConc,Detchd,NA,97000
261,80,19296,Pave,AllPub,NAmes,1Fam,SLvl,6,5,1962,CBlock,Attchd,NA,176000
262,60,9588,Pave,AllPub,CollgCr,1Fam,2Story,8,5,2007,PConc,BuiltIn,NA,276000
263,80,8471,Pave,AllPub,Sawyer,1Fam,SLvl,6,7,1977,CBlock,Attchd,NA,151000
264,50,5500,Pave,AllPub,OldTown,1Fam,1.5Fin,5,7,1929,BrkTil,Detchd,NA,130000
265,30,5232,Pave,AllPub,OldTown,1Fam,1Story,5,5,1925,BrkTil,Detchd,NA,73000
266,20,12090,Pave,AllPub,NWAmes,1Fam,1Story,6,6,1981,CBlock,Attchd,NA,175500
267,60,11207,Pave,AllPub,Gilbert,1Fam,2Story,6,5,1997,PConc,Attchd,NA,185000
268,75,8400,Pave,AllPub,SWISU,1Fam,2.5Fin,5,8,1939,PConc,Detchd,NA,179500
269,30,6900,Pave,AllPub,IDOTRR,1Fam,1Story,5,6,1940,CBlock,Detchd,NA,120500
270,20,7917,Pave,AllPub,Edwards,1Fam,1Story,6,7,1976,CBlock,Attchd,NA,148000
271,60,10728,Pave,AllPub,Somerst,1Fam,2Story,8,5,2006,PConc,Attchd,NA,266000
272,20,39104,Pave,AllPub,ClearCr,1Fam,1Story,7,7,1954,CBlock,Attchd,NA,241500
273,60,11764,Pave,AllPub,NoRidge,1Fam,2Story,8,7,1999,PConc,Attchd,NA,290000
274,20,9600,Pave,AllPub,NAmes,1Fam,1Story,6,6,1958,CBlock,Attchd,NA,139000
275,20,8314,Pave,AllPub,Mitchel,1Fam,1Story,5,7,1982,CBlock,Attchd,NA,124500
276,50,7264,Pave,AllPub,BrkSide,1Fam,1.5Fin,7,7,1925,BrkTil,Detchd,NA,205000
277,20,9196,Pave,AllPub,Mitchel,1Fam,1Story,7,5,2003,PConc,Attchd,NA,201000
278,20,19138,Pave,AllPub,Gilbert,1Fam,1Story,4,5,1951,CBlock,Detchd,NA,141000
279,20,14450,Pave,AllPub,NridgHt,1Fam,1Story,9,5,2006,PConc,Attchd,NA,415298
280,60,10005,Pave,AllPub,ClearCr,1Fam,2Story,7,5,1977,CBlock,Attchd,NA,192000
281,60,11287,Pave,AllPub,SawyerW,1Fam,2Story,7,6,1989,CBlock,Attchd,NA,228500
282,20,7200,Pave,AllPub,Somerst,1Fam,1Story,6,5,2006,PConc,Attchd,NA,185000
283,120,5063,Pave,AllPub,NridgHt,Twnhs,1Story,7,5,2007,PConc,Attchd,NA,207500
284,20,9612,Pave,AllPub,Somerst,1Fam,1Story,8,5,2008,PConc,Attchd,NA,244600
285,120,8012,Pave,AllPub,SawyerW,TwnhsE,1Story,6,5,1992,PConc,Attchd,NA,179200
286,160,4251,Pave,AllPub,Somerst,TwnhsE,2Story,7,5,2006,PConc,Detchd,NA,164700
287,50,9786,Pave,AllPub,NAmes,1Fam,1.5Fin,6,7,1962,CBlock,Attchd,NA,159000
288,20,8125,Pave,AllPub,NAmes,1Fam,1Story,4,4,1971,CBlock,NA,NA,88000
289,20,9819,Pave,AllPub,Sawyer,1Fam,1Story,5,5,1967,CBlock,Detchd,NA,122000
290,70,8730,Pave,AllPub,BrkSide,1Fam,2Story,6,7,1915,BrkTil,Detchd,NA,153575
291,60,15611,Pave,AllPub,CollgCr,1Fam,2Story,8,5,2006,PConc,Attchd,NA,233230
292,190,5687,Pave,AllPub,SWISU,2fmCon,2Story,5,6,1912,PConc,NA,NA,135900
293,50,11409,Pave,AllPub,Edwards,1Fam,1.5Fin,5,4,1949,CBlock,Attchd,NA,131000
294,60,16659,Pave,AllPub,NWAmes,1Fam,2Story,7,7,1977,CBlock,Attchd,NA,235000
295,20,9600,Pave,AllPub,NAmes,1Fam,1Story,6,5,1953,CBlock,Attchd,NA,167000
296,80,7937,Pave,AllPub,Mitchel,1Fam,SLvl,6,6,1984,CBlock,Detchd,NA,142500
297,50,13710,Pave,AllPub,IDOTRR,1Fam,1.5Fin,5,5,1950,CBlock,Attchd,NA,152000
298,60,7399,Pave,AllPub,Somerst,1Fam,2Story,7,5,1997,PConc,Detchd,NA,239000
299,60,11700,Pave,AllPub,NWAmes,1Fam,2Story,6,6,1968,CBlock,Attchd,NA,175000
300,20,14000,Pave,AllPub,Crawfor,1Fam,1Story,6,8,1950,CBlock,Attchd,NA,158500
301,190,15750,Pave,AllPub,Crawfor,2fmCon,1Story,5,5,1953,CBlock,Attchd,NA,157000
302,60,16226,Pave,AllPub,CollgCr,1Fam,2Story,8,5,1998,PConc,BuiltIn,NA,267000
303,20,13704,Pave,AllPub,CollgCr,1Fam,1Story,7,5,2001,PConc,Attchd,NA,205000
304,20,9800,Pave,AllPub,CollgCr,1Fam,1Story,5,7,1972,PConc,Attchd,NA,149900
305,75,18386,Pave,AllPub,OldTown,1Fam,2.5Fin,7,9,1880,BrkTil,Attchd,NA,295000
306,20,10386,Pave,AllPub,CollgCr,1Fam,1Story,8,5,2004,PConc,Attchd,NA,305900
307,60,13474,Pave,AllPub,SawyerW,1Fam,2Story,7,5,1990,CBlock,Attchd,NA,225000
308,50,7920,Pave,AllPub,IDOTRR,1Fam,1.5Fin,6,7,1920,CBlock,NA,NA,89500
309,30,12342,Pave,AllPub,Edwards,1Fam,1Story,4,5,1940,CBlock,Detchd,NA,82500
310,20,12378,Pave,AllPub,NridgHt,1Fam,1Story,9,5,2003,PConc,Attchd,NA,360000
311,60,7685,Pave,AllPub,Gilbert,1Fam,2Story,6,5,1993,PConc,Attchd,NA,165600
312,20,8000,Pave,AllPub,NAmes,1Fam,1Story,6,6,1948,CBlock,Detchd,NA,132000
313,190,7800,Pave,AllPub,OldTown,2fmCon,1.5Fin,5,7,1939,CBlock,Detchd,NA,119900
314,20,215245,Pave,AllPub,Timber,1Fam,1Story,7,5,1965,CBlock,Attchd,NA,375000
315,70,9600,Pave,AllPub,OldTown,1Fam,2Story,7,7,1925,BrkTil,Detchd,NA,178000
316,60,7795,Pave,AllPub,Gilbert,1Fam,2Story,7,5,2004,PConc,Attchd,NA,188500
317,60,13005,Pave,AllPub,NWAmes,1Fam,2Story,7,7,1980,CBlock,Attchd,NA,260000
318,60,9000,Pave,AllPub,Somerst,1Fam,2Story,8,5,2006,PConc,Attchd,NA,270000
319,60,9900,Pave,AllPub,NoRidge,1Fam,2Story,7,5,1993,PConc,Attchd,NA,260000
320,80,14115,Pave,AllPub,NWAmes,1Fam,SLvl,7,5,1980,CBlock,Attchd,NA,187500
321,60,16259,Pave,AllPub,NridgHt,1Fam,2Story,9,5,2006,PConc,Attchd,NA,342643
322,60,12099,Pave,AllPub,NridgHt,1Fam,2Story,8,5,2004,PConc,BuiltIn,NA,354000
323,60,10380,Pave,AllPub,SawyerW,1Fam,2Story,7,5,1986,CBlock,Attchd,NA,301000
324,20,5820,Pave,AllPub,OldTown,1Fam,1Story,3,8,1955,CBlock,Attchd,NA,126175
325,80,11275,Pave,AllPub,NAmes,1Fam,SLvl,7,7,1967,CBlock,BuiltIn,NA,242000
326,45,5000,Pave,AllPub,IDOTRR,1Fam,1.5Unf,5,6,1941,CBlock,Detchd,NA,87000
327,120,10846,Pave,AllPub,Veenker,TwnhsE,1Story,8,5,1993,PConc,Attchd,NA,324000
328,20,11600,Pave,AllPub,NAmes,1Fam,1Story,6,5,1960,CBlock,Attchd,NA,145250
329,75,11888,Pave,AllPub,BrkSide,1Fam,2.5Unf,6,6,1916,BrkTil,Detchd,NA,214500
330,70,6402,Pave,AllPub,IDOTRR,1Fam,2Story,5,5,1920,PConc,Detchd,NA,78000
331,90,10624,Pave,AllPub,NAmes,Duplex,1Story,5,4,1964,CBlock,Detchd,NA,119000
332,20,8176,Pave,AllPub,NAmes,1Fam,1Story,5,6,1958,CBlock,Attchd,NA,139000
333,20,10655,Pave,AllPub,NridgHt,1Fam,1Story,8,5,2003,PConc,Attchd,NA,284000
334,120,8198,Pave,AllPub,NridgHt,TwnhsE,1Story,7,5,2004,PConc,Attchd,NA,207000
335,60,9042,Pave,AllPub,Gilbert,1Fam,2Story,6,5,1998,PConc,Attchd,NA,192000
336,190,164660,Grvl,AllPub,Timber,2fmCon,1.5Fin,5,6,1965,CBlock,Attchd,NA,228950
337,20,14157,Pave,AllPub,StoneBr,1Fam,1Story,9,5,2005,PConc,Attchd,NA,377426
338,20,9135,Pave,AllPub,CollgCr,1Fam,1Story,7,5,2002,PConc,Attchd,NA,214000
339,20,14145,Pave,AllPub,NWAmes,1Fam,1Story,7,7,1984,CBlock,Attchd,NA,202500
340,20,12400,Pave,AllPub,NAmes,1Fam,1Story,6,7,1958,CBlock,Attchd,NA,155000
341,60,14191,Pave,AllPub,Timber,1Fam,2Story,8,5,2002,PConc,Attchd,NA,202900
342,20,8400,Pave,AllPub,SawyerW,1Fam,1Story,4,4,1950,CBlock,CarPort,NA,82000
343,90,8544,Pave,AllPub,NAmes,Duplex,1Story,3,4,1949,Slab,Detchd,NA,87500
344,120,8849,Pave,AllPub,NridgHt,TwnhsE,1Story,9,5,2005,PConc,Attchd,NA,266000
345,160,2592,Pave,AllPub,MeadowV,TwnhsE,2Story,5,3,1976,CBlock,Attchd,NA,85000
346,50,6435,Pave,AllPub,BrkSide,1Fam,1.5Fin,6,5,1939,BrkTil,Detchd,NA,140200
347,20,12772,Pave,AllPub,NAmes,1Fam,1Story,6,8,1960,CBlock,Attchd,NA,151500
348,20,17600,Pave,AllPub,NAmes,1Fam,1Story,6,5,1960,CBlock,Attchd,NA,157500
349,160,2448,Pave,AllPub,NridgHt,Twnhs,2Story,7,5,2003,PConc,BuiltIn,NA,154000
350,60,20431,Pave,AllPub,NridgHt,1Fam,2Story,9,5,2005,PConc,Attchd,NA,437154
351,120,7820,Pave,AllPub,NridgHt,TwnhsE,1Story,9,5,2007,PConc,Attchd,NA,318061
352,120,5271,Pave,AllPub,ClearCr,1Fam,1Story,7,5,1986,PConc,Attchd,NA,190000
353,50,9084,Pave,AllPub,Edwards,1Fam,1.5Fin,5,6,1941,CBlock,Detchd,NA,95000
354,30,8520,Pave,AllPub,OldTown,1Fam,1Story,6,8,1928,BrkTil,Detchd,NA,105900
355,50,8400,Pave,AllPub,SWISU,1Fam,1.5Fin,6,5,1940,CBlock,Attchd,NA,140000
356,20,11249,Pave,AllPub,CollgCr,1Fam,1Story,6,5,1995,PConc,Attchd,NA,177500
357,20,9248,Pave,AllPub,Gilbert,1Fam,1Story,6,6,1992,PConc,Attchd,NA,173000
358,120,4224,Pave,AllPub,MeadowV,TwnhsE,1Story,5,5,1976,PConc,Attchd,NA,134000
359,80,6930,Pave,AllPub,ClearCr,1Fam,SLvl,5,4,1958,CBlock,BuiltIn,NA,130000
360,60,12011,Pave,AllPub,NoRidge,1Fam,2Story,8,5,1998,PConc,Attchd,NA,280000
361,85,7540,Pave,AllPub,Mitchel,1Fam,SFoyer,6,6,1978,CBlock,Attchd,NA,156000
362,50,9144,Pave,AllPub,BrkSide,1Fam,1.5Fin,5,5,1940,CBlock,Detchd,NA,145000
363,85,7301,Pave,AllPub,Edwards,1Fam,SFoyer,7,5,2003,Slab,BuiltIn,NA,198500
364,160,1680,Pave,AllPub,BrDale,Twnhs,2Story,6,8,1972,CBlock,Detchd,NA,118000
365,60,18800,Pave,AllPub,NWAmes,1Fam,2Story,6,5,1976,PConc,Attchd,NA,190000
366,70,10690,Pave,AllPub,IDOTRR,1Fam,2Story,5,7,1920,CBlock,Detchd,NA,147000
367,20,9500,Pave,AllPub,NAmes,1Fam,1Story,6,5,1963,CBlock,Attchd,NA,159000
368,80,9150,Pave,AllPub,NAmes,1Fam,SLvl,6,5,1962,CBlock,Basment,NA,165000
369,20,7800,Pave,AllPub,NAmes,1Fam,1Story,5,6,1954,PConc,Attchd,NA,132000
370,20,9830,Pave,AllPub,NAmes,1Fam,1Story,5,7,1959,CBlock,Detchd,NA,162000
371,60,8121,Pave,AllPub,Gilbert,1Fam,2Story,6,5,2000,PConc,Attchd,NA,172400
372,50,17120,Pave,AllPub,ClearCr,1Fam,1.5Fin,4,4,1959,CBlock,Detchd,NA,134432
373,120,7175,Pave,AllPub,SawyerW,TwnhsE,1Story,6,5,1984,CBlock,Attchd,NA,125000
374,20,10634,Pave,AllPub,NAmes,1Fam,1Story,5,6,1953,PConc,Attchd,NA,123000
375,60,8200,Pave,AllPub,CollgCr,1Fam,2Story,7,5,2003,PConc,BuiltIn,NA,219500
376,30,10020,Pave,AllPub,Edwards,1Fam,1Story,1,1,1922,BrkTil,NA,NA,61000
377,85,8846,Pave,AllPub,CollgCr,1Fam,SFoyer,5,5,1996,PConc,Detchd,NA,148000
378,60,11143,Pave,AllPub,Somerst,1Fam,2Story,8,5,2004,PConc,Attchd,NA,340000
379,20,11394,Pave,AllPub,StoneBr,1Fam,1Story,9,2,2010,PConc,Attchd,NA,394432
380,60,8123,Pave,AllPub,Gilbert,1Fam,2Story,6,5,2000,PConc,Attchd,NA,179000
381,50,5000,Pave,AllPub,SWISU,1Fam,1.5Fin,5,6,1924,BrkTil,Detchd,NA,127000
382,20,7200,Pave,AllPub,Somerst,1Fam,1Story,7,5,2006,PConc,Attchd,NA,187750
383,60,9245,Pave,AllPub,CollgCr,1Fam,2Story,7,5,2006,PConc,Attchd,NA,213500
384,45,9000,Pave,AllPub,SawyerW,1Fam,1.5Unf,6,3,1928,BrkTil,Detchd,NA,76000
385,60,53107,Pave,AllPub,ClearCr,1Fam,2Story,6,5,1992,PConc,Attchd,NA,240000
386,120,3182,Pave,AllPub,Blmngtn,TwnhsE,1Story,8,5,2004,PConc,Attchd,NA,192000
387,50,8410,Pave,AllPub,Edwards,1Fam,1.5Fin,5,3,1910,PConc,NA,NA,81000
388,80,7200,Pave,AllPub,Edwards,1Fam,SLvl,6,6,1976,CBlock,Detchd,NA,125000
389,20,9382,Pave,AllPub,CollgCr,1Fam,1Story,7,5,1999,PConc,Attchd,NA,191000
390,60,12474,Pave,AllPub,NridgHt,1Fam,2Story,10,5,2007,PConc,BuiltIn,NA,426000
391,50,8405,Pave,AllPub,Edwards,1Fam,1.5Fin,5,8,1900,BrkTil,Detchd,NA,119000
392,60,12209,Pave,AllPub,Mitchel,1Fam,2Story,6,5,2001,PConc,BuiltIn,NA,215000
393,20,8339,Pave,AllPub,NAmes,1Fam,1Story,5,7,1959,Slab,Attchd,NA,106500
394,30,7446,Pave,AllPub,BrkSide,1Fam,1Story,4,5,1941,CBlock,NA,NA,100000
395,50,10134,Pave,AllPub,OldTown,1Fam,1.5Fin,5,6,1940,CBlock,Detchd,NA,109000
396,20,9571,Pave,AllPub,Edwards,1Fam,1Story,5,6,1956,CBlock,Attchd,NA,129000
397,20,7200,Pave,AllPub,CollgCr,1Fam,1Story,5,5,1972,CBlock,Detchd,NA,123000
398,60,7590,Pave,AllPub,NAmes,1Fam,2Story,5,5,1962,CBlock,Attchd,NA,169500
399,30,8967,Pave,AllPub,IDOTRR,1Fam,1Story,5,2,1920,BrkTil,Detchd,NA,67000
400,60,8125,Pave,AllPub,Somerst,1Fam,2Story,7,5,2006,PConc,Attchd,NA,241000
401,120,14963,Pave,AllPub,Veenker,TwnhsE,1Story,8,5,1996,PConc,Attchd,NA,245500
402,20,8767,Pave,AllPub,CollgCr,1Fam,1Story,7,5,2005,PConc,Attchd,NA,164990
403,30,10200,Pave,AllPub,Sawyer,1Fam,1Story,5,8,1940,PConc,Detchd,NA,108000
404,60,12090,Pave,AllPub,NoRidge,1Fam,2Story,8,5,1998,PConc,BuiltIn,NA,258000
405,60,10364,Pave,AllPub,Gilbert,1Fam,2Story,6,5,1995,PConc,BuiltIn,NA,168000
406,20,9991,Pave,AllPub,Sawyer,1Fam,1Story,4,4,1976,CBlock,Attchd,NA,150000
407,50,10480,Pave,AllPub,SWISU,1Fam,1.5Fin,6,5,1936,BrkTil,Detchd,NA,115000
408,70,15576,Pave,AllPub,Crawfor,1Fam,2Story,6,7,1915,BrkTil,Attchd,NA,177000
409,60,14154,Pave,AllPub,NridgHt,1Fam,2Story,7,5,2006,PConc,Attchd,NA,280000
410,60,10800,Pave,AllPub,Somerst,1Fam,2Story,8,5,2007,PConc,Attchd,NA,339750
411,20,9571,Pave,AllPub,Edwards,1Fam,1Story,5,3,1958,CBlock,Attchd,NA,60000
412,190,34650,Pave,AllPub,Gilbert,2fmCon,1Story,5,5,1955,CBlock,Attchd,NA,145000
413,20,4403,Pave,AllPub,Somerst,1Fam,1Story,7,5,2009,PConc,Attchd,NA,222000
414,30,8960,Pave,AllPub,OldTown,1Fam,1Story,5,6,1927,CBlock,Detchd,NA,115000
415,60,11228,Pave,AllPub,SawyerW,1Fam,2Story,7,5,1993,PConc,Attchd,NA,228000
416,20,8899,Pave,AllPub,Gilbert,1Fam,1Story,7,5,2007,PConc,Attchd,NA,181134
417,60,7844,Pave,AllPub,Sawyer,1Fam,2Story,6,7,1978,CBlock,Attchd,NA,149500
418,70,22420,Pave,AllPub,Crawfor,1Fam,2Story,6,6,1918,BrkTil,Detchd,NA,239000
419,50,8160,Pave,AllPub,Edwards,1Fam,1.5Fin,5,6,1940,BrkTil,Detchd,NA,126000
420,20,8450,Pave,AllPub,NAmes,1Fam,1Story,5,6,1968,CBlock,Attchd,NA,142000
421,90,7060,Pave,AllPub,Mitchel,Duplex,SFoyer,7,5,1997,PConc,Attchd,NA,206300
422,20,16635,Pave,AllPub,NWAmes,1Fam,1Story,6,7,1977,CBlock,Attchd,NA,215000
423,20,21750,Pave,AllPub,Mitchel,1Fam,1Story,5,5,1954,CBlock,Attchd,NA,113000
424,60,9200,Pave,AllPub,NoRidge,1Fam,2Story,8,5,1998,PConc,Attchd,NA,315000
425,20,9000,Pave,AllPub,NAmes,1Fam,1Story,6,5,1956,CBlock,Attchd,NA,139000
426,60,3378,Pave,AllPub,OldTown,1Fam,2Story,7,8,1946,CBlock,Detchd,NA,135000
427,80,12800,Pave,AllPub,SawyerW,1Fam,SLvl,7,5,1989,PConc,Attchd,NA,275000
428,20,8593,Pave,AllPub,NAmes,1Fam,1Story,4,6,1957,CBlock,Detchd,NA,109008
429,20,6762,Pave,AllPub,CollgCr,1Fam,1Story,7,5,2007,PConc,Attchd,NA,195400
430,20,11457,Pave,AllPub,Timber,1Fam,1Story,6,5,1988,CBlock,Attchd,NA,175000
431,160,1680,Pave,AllPub,BrDale,Twnhs,2Story,6,5,1971,CBlock,Detchd,NA,85400
432,50,5586,Pave,AllPub,OldTown,1Fam,1.5Fin,6,7,1920,BrkTil,NA,NA,79900
433,160,1920,Pave,AllPub,BrDale,TwnhsE,2Story,5,5,1971,CBlock,Detchd,NA,122500
434,60,10839,Pave,AllPub,Gilbert,1Fam,2Story,6,5,1997,PConc,Attchd,NA,181000
435,180,1890,Pave,AllPub,MeadowV,Twnhs,SFoyer,4,7,1972,CBlock,NA,NA,81000
436,60,10667,Pave,AllPub,CollgCr,1Fam,2Story,7,6,1996,PConc,Attchd,NA,212000
437,50,4400,Pave,AllPub,OldTown,1Fam,1.5Fin,6,8,1920,BrkTil,Detchd,NA,116000
438,45,6000,Pave,AllPub,BrkSide,1Fam,1.5Unf,6,7,1926,PConc,Detchd,NA,119000
439,30,4280,Pave,AllPub,Crawfor,1Fam,1Story,5,6,1913,PConc,Detchd,NA,90350
440,50,12354,Pave,AllPub,Edwards,1Fam,1.5Fin,6,8,1920,BrkTil,Detchd,NA,110000
441,20,15431,Pave,AllPub,NridgHt,1Fam,1Story,10,5,2008,PConc,Attchd,NA,555000
442,90,12108,Pave,AllPub,Edwards,Duplex,1Story,4,4,1955,CBlock,NA,NA,118000
443,50,6240,Pave,AllPub,BrkSide,1Fam,1.5Fin,5,7,1930,PConc,Detchd,NA,162900
444,120,3922,Pave,AllPub,Blmngtn,TwnhsE,1Story,7,5,2006,PConc,Attchd,NA,172500
445,60,8750,Pave,AllPub,CollgCr,1Fam,2Story,7,5,1994,PConc,Attchd,NA,210000
446,20,9855,Pave,AllPub,Edwards,1Fam,1Story,6,5,1956,CBlock,Attchd,NA,127500
447,20,16492,Pave,AllPub,NAmes,1Fam,1Story,6,6,1966,CBlock,Attchd,NA,190000
448,60,11214,Pave,AllPub,Gilbert,1Fam,2Story,7,5,1998,PConc,Attchd,NA,199900
449,50,8600,Pave,AllPub,IDOTRR,1Fam,1.5Fin,6,6,1937,BrkTil,Detchd,NA,119500
450,50,6000,Pave,AllPub,OldTown,1Fam,1.5Fin,3,7,1948,CBlock,Detchd,NA,120000
451,30,5684,Pave,AllPub,OldTown,1Fam,1Story,6,8,1930,BrkTil,Detchd,NA,110000
452,20,70761,Pave,AllPub,ClearCr,1Fam,1Story,7,5,1975,CBlock,Attchd,NA,280000
453,60,9303,Pave,AllPub,Timber,1Fam,2Story,6,5,1996,PConc,Attchd,NA,204000
454,60,9000,Pave,AllPub,Somerst,1Fam,2Story,8,5,2008,PConc,Attchd,NA,210000
455,90,9297,Pave,AllPub,Mitchel,Duplex,1Story,5,5,1976,CBlock,Detchd,NA,188000
456,20,9600,Pave,AllPub,NWAmes,1Fam,1Story,7,6,1973,CBlock,Attchd,NA,175500
457,70,4571,Pave,AllPub,OldTown,1Fam,2Story,5,5,1916,BrkTil,Detchd,NA,98000
458,20,53227,Pave,AllPub,ClearCr,1Fam,1Story,4,6,1954,CBlock,Attchd,NA,256000
459,70,5100,Pave,AllPub,OldTown,1Fam,2Story,8,7,1925,PConc,Detchd,NA,161000
460,50,7015,Pave,AllPub,BrkSide,1Fam,1.5Fin,5,4,1950,CBlock,Detchd,NA,110000
461,60,8004,Pave,AllPub,Somerst,1Fam,2Story,8,5,2009,PConc,BuiltIn,NA,263435
462,70,7200,Pave,AllPub,SWISU,1Fam,2Story,7,9,1936,PConc,Detchd,NA,155000
463,20,8281,Pave,AllPub,Sawyer,1Fam,1Story,5,5,1965,CBlock,Detchd,NA,62383
464,70,11988,Pave,AllPub,Crawfor,1Fam,2Story,6,7,1934,CBlock,Detchd,NA,188700
465,20,8430,Pave,AllPub,CollgCr,1Fam,1Story,5,5,1978,CBlock,NA,NA,124000
466,120,3072,Pave,AllPub,Blmngtn,TwnhsE,1Story,7,5,2004,PConc,Attchd,NA,178740
467,20,10628,Pave,AllPub,NAmes,1Fam,1Story,7,5,1970,CBlock,Attchd,NA,167000
468,70,9480,Pave,AllPub,NAmes,1Fam,2Story,5,7,1942,CBlock,Attchd,NA,146500
469,20,11428,Pave,AllPub,NridgHt,1Fam,1Story,8,5,2006,PConc,Attchd,NA,250000
470,60,9291,Pave,AllPub,SawyerW,1Fam,2Story,6,5,1993,PConc,Attchd,NA,187000
471,120,6820,Pave,AllPub,StoneBr,TwnhsE,1Story,8,5,1985,PConc,Attchd,NA,212000
472,60,11952,Pave,AllPub,NWAmes,1Fam,2Story,7,6,1977,CBlock,Attchd,NA,190000
473,180,3675,Pave,AllPub,Edwards,TwnhsE,SLvl,6,5,2005,PConc,Basment,NA,148000
474,20,14977,Pave,AllPub,NridgHt,1Fam,1Story,8,5,2006,PConc,Attchd,NA,440000
475,120,5330,Pave,AllPub,StoneBr,TwnhsE,1Story,8,5,2000,PConc,Attchd,NA,251000
476,20,8480,Pave,AllPub,Sawyer,1Fam,1Story,5,6,1963,CBlock,Detchd,NA,132500
477,20,13125,Pave,AllPub,CollgCr,1Fam,1Story,6,5,1997,PConc,Attchd,NA,208900
478,60,13693,Pave,AllPub,NridgHt,1Fam,2Story,9,5,2006,PConc,BuiltIn,NA,380000
479,20,10637,Pave,AllPub,CollgCr,1Fam,1Story,8,5,2007,PConc,Attchd,NA,297000
480,30,5925,Pave,AllPub,OldTown,1Fam,1Story,4,7,1937,BrkTil,Detchd,NA,89471
481,20,16033,Pave,AllPub,NridgHt,1Fam,1Story,9,5,2004,PConc,Attchd,NA,326000
482,20,11846,Pave,AllPub,NridgHt,1Fam,1Story,9,5,2003,PConc,Attchd,NA,374000
483,70,2500,Pave,AllPub,OldTown,1Fam,2Story,7,8,1915,PConc,Attchd,NA,155000
484,120,4500,Pave,AllPub,Mitchel,Twnhs,1Story,6,5,1998,PConc,Attchd,NA,164000
485,20,7758,Pave,AllPub,Sawyer,1Fam,1Story,5,7,1962,CBlock,Detchd,NA,132500
486,20,9600,Pave,AllPub,NAmes,1Fam,1Story,5,7,1950,CBlock,Attchd,NA,147000
487,20,10289,Pave,AllPub,NAmes,1Fam,1Story,5,7,1965,CBlock,Attchd,NA,156000
488,20,12243,Pave,AllPub,NWAmes,1Fam,1Story,5,6,1971,CBlock,Attchd,NA,175000
489,190,10800,Pave,AllPub,OldTown,2fmCon,1.5Fin,5,4,1900,CBlock,Attchd,NA,160000
490,180,1526,Pave,AllPub,MeadowV,Twnhs,SFoyer,4,8,1970,CBlock,Attchd,NA,86000
491,160,2665,Pave,AllPub,MeadowV,TwnhsE,2Story,5,6,1976,PConc,BuiltIn,NA,115000
492,50,9490,Pave,AllPub,NAmes,1Fam,1.5Fin,6,7,1941,CBlock,Attchd,NA,133000
493,60,15578,Pave,AllPub,Gilbert,1Fam,2Story,6,5,2006,PConc,Attchd,NA,172785
494,20,7931,Pave,AllPub,NAmes,1Fam,1Story,5,6,1960,CBlock,Detchd,NA,155000
495,30,5784,Pave,AllPub,OldTown,1Fam,1Story,5,8,1938,BrkTil,Attchd,NA,91300
496,30,7879,Pave,AllPub,IDOTRR,1Fam,1Story,4,5,1920,CBlock,NA,NA,34900
497,20,12692,Pave,AllPub,NoRidge,1Fam,1Story,8,5,1992,PConc,Attchd,NA,430000
498,50,9120,Pave,AllPub,BrkSide,1Fam,1.5Fin,7,6,1925,PConc,Detchd,NA,184000
499,20,7800,Pave,AllPub,Sawyer,1Fam,1Story,5,7,1967,PConc,Attchd,NA,130000
500,20,7535,Pave,AllPub,NAmes,1Fam,1Story,5,7,1958,CBlock,Attchd,NA,120000
501,160,1890,Pave,AllPub,BrDale,Twnhs,2Story,6,5,1973,CBlock,Detchd,NA,113000
502,60,9803,Pave,AllPub,Somerst,1Fam,2Story,7,5,2005,PConc,Attchd,NA,226700
503,20,9170,Pave,AllPub,Edwards,1Fam,1Story,5,7,1965,CBlock,Detchd,NA,140000
504,20,15602,Pave,AllPub,Crawfor,1Fam,1Story,7,8,1959,CBlock,Attchd,NA,289000
505,160,2308,Pave,AllPub,NPkVill,TwnhsE,2Story,6,5,1974,CBlock,Attchd,NA,147000
506,90,7596,Pave,AllPub,OldTown,Duplex,2Story,5,5,1952,CBlock,Detchd,NA,124500
507,60,9554,Pave,AllPub,SawyerW,1Fam,2Story,8,5,1993,PConc,Attchd,NA,215000
508,20,7862,Pave,AllPub,Somerst,1Fam,1Story,6,5,2009,PConc,Attchd,NA,208300
509,70,9600,Pave,AllPub,OldTown,1Fam,2Story,7,9,1928,BrkTil,Detchd,NA,161000
510,20,9600,Pave,AllPub,NAmes,1Fam,1Story,5,6,1959,CBlock,Attchd,NA,124500
511,20,14559,Pave,AllPub,NAmes,1Fam,1Story,5,7,1951,CBlock,CarPort,NA,164900
512,120,6792,Pave,AllPub,NridgHt,TwnhsE,1Story,7,5,2005,PConc,Attchd,NA,202665
513,20,9100,Pave,AllPub,NAmes,1Fam,1Story,5,5,1958,CBlock,Detchd,NA,129900
